player_name,Position,Age
Unai García,CB,32
Angelo Stiller,DM,23
Julian Chabot,CB,26
Jamie Leweling,RW,23
Atakan Karazor,DM,28
Maximilian Mittelstädt,LB,27
Enzo Millot,AM,22
Deniz Undav,CF,28
Ermedin Demirović,CF,26
Josha Vagnoman,RB,23
Anthony Rouault,CB,23
Fabian Rieder,AM,22
Chris Führich,LW,26
Pascal Stenzel,RB,28
El Bilal Touré,CF,23
Nick Woltemade,SS,22
Dan-Axel Zagadou,CB,25
Ramon Hendriks,CB,23
Silas Katompa,RW,26
Yannik Keitel,DM,24
Calvin Bassey,CB,24
Antonee Robinson,LB,27
Kenny Tete,RB,29
Alex Iwobi,LW,28
Adama Traoré,RW,28
Saša Lukić,CM,28
Andreas Pereira,AM,28
Emile Smith Rowe,AM,24
Joachim Andersen,CB,28
Joachim Andersen,CB,28
Raúl Jiménez,CF,33
Rodrigo Muniz,CF,23
Issa Diop,CB,27
Sander Berge,DM,26
Tom Cairney,CM,33
Harrison Reed,CM,29
Harry Wilson,RW,27
Timothy Castagne,RB,28
Jay Stansfield,CF,21
Jorge Cuenca,CB,24
Samuele Ricci,DM,23
Duván Zapata,CF,33
Valentino Lazaro,LM,28
Adam Masina,CB,30
Saúl Coco,CB,25
Ivan Ilić,CM,23
Karol Linetty,CM,29
Mërgim Vojvoda,RB,29
Che Adams,CF,28
Borna Sosa,LM,26
Adrien Tameze,DM,30
Antonio Sanabria,CF,28
Marcus Pedersen,RM,24
Gvidas Gineitis,CM,20
Raoul Bellanova,RM,24
Raoul Bellanova,RM,24
Nikola Vlašić,AM,27
Antonio Raillo,CB,33
Samu Costa,DM,23
Johan Mojica,LB,32
Sergi Darder,CM,30
Dani Rodríguez,AM,36
Martin Valjent,CB,28
Pablo Maffeo,RB,27
Vedat Muriqi,CF,30
Omar Mascarell,DM,31
Cyle Larin,CF,29
Antonio Sánchez,CM,27
Manu Morlanes,CM,25
Roberto Navarro,RB,37
Takuma Asano,RW,29
Copete,CF,31
Toni Lato,LB,26
Abdón Prats,CF,31
Valery Fernández,RW,24
Chiquinho,AM,29
Chiquinho,AM,29
Obite N'Dicka,CB,25
Angeliño,LB,27
Artem Dovbyk,CF,27
Gianluca Mancini,CB,28
Bryan Cristante,DM,29
Lorenzo Pellegrini,AM,28
Zeki Çelik,RB,27
Matìas Soulé,RW,21
Stephan El Shaarawy,LW,32
Paulo Dybala,SS,30
Manu Koné,CM,23
Nicola Zalewski,LM,22
Leandro Paredes,DM,30
Enzo Le Fée,CM,24
Tommaso Baldanzi,AM,21
Mario Hermoso,CB,29
Eldor Shomurodov,CF,29
Edoardo Bove,CM,22
Edoardo Bove,CM,22
Mats Hummels,CB,35
Pedro Chirivella,DM,27
Moses Simon,LW,29
Matthis Abline,CF,21
Douglas,CM,26
Kelvin Amian,RB,26
Jean-Charles Castelletto,CB,29
Nathan Zeze,CB,19
Johann Lepenant,DM,22
Sorba Thomas,RW,25
Nicolas Pallois,CB,37
Jean-Kevin Duverne,CB,27
